Timeline Trace
Generated on: 2021-04-28 02:40:23
Msec since Epoch: 1619577623369
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
18.95674,clGetPlatformIDs|General,START,,,,,,,,,,,0,
19.07609,clGetPlatformIDs|General,END,,,,,,,,,,,0,
19.12419,clGetPlatformIDs|General,START,,,,,,,,,,,1,
19.14925,clGetPlatformIDs|General,END,,,,,,,,,,,1,
19.18019,clGetPlatformInfo|General,START,,,,,,,,,,,2,
19.2066,clGetPlatformInfo|General,END,,,,,,,,,,,2,
19.2278,clGetPlatformInfo|General,START,,,,,,,,,,,3,
19.25013,clGetPlatformInfo|General,END,,,,,,,,,,,3,
19.35342,clGetDeviceIDs|General,START,,,,,,,,,,,4,
19.38682,clGetDeviceIDs|General,END,,,,,,,,,,,4,
19.4088,clGetDeviceIDs|General,START,,,,,,,,,,,5,
19.43052,clGetDeviceIDs|General,END,,,,,,,,,,,5,
19.45788,clRetainDevice|General,START,,,,,,,,,,,6,
19.48215,clRetainDevice|General,END,,,,,,,,,,,6,
19.50306,clRetainDevice|General,START,,,,,,,,,,,7,
19.524,clRetainDevice|General,END,,,,,,,,,,,7,
19.55,clCreateContext|General,START,,,,,,,,,,,8,
31.62256,clCreateContext|General,END,,,,,,,,,,,8,
273.33419,clCreateProgramWithBinary|General,START,,,,,,,,,,,9,
353.20052,clCreateProgramWithBinary|General,END,,,,,,,,,,,9,
353.31689,clCreateCommandQueue|General,START,,,,,,,,,,,10,
353.36824,clCreateCommandQueue|General,END,,,,,,,,,,,10,
353.39584,clCreateKernel|General,START,,,,,,,,,,,11,
357.23981,clCreateKernel|General,END,,,,,,,,,,,11,
357.27977,clCreateBuffer|General,START,,,,,,,,,,,12,
358.62176,clCreateBuffer|General,END,,,,,,,,,,,12,
358.65123,clCreateBuffer|General,START,,,,,,,,,,,13,
359.22639,clCreateBuffer|General,END,,,,,,,,,,,13,
359.25306,clCreateBuffer|General,START,,,,,,,,,,,14,
359.68372,clCreateBuffer|General,END,,,,,,,,,,,14,
359.72469,clCreateBuffer|General,START,,,,,,,,,,,15,
360.65063,clCreateBuffer|General,END,,,,,,,,,,,15,
360.67791,clCreateBuffer|General,START,,,,,,,,,,,16,
361.13455,clCreateBuffer|General,END,,,,,,,,,,,16,
361.16054,clCreateBuffer|General,START,,,,,,,,,,,17,
361.7203,clCreateBuffer|General,END,,,,,,,,,,,17,
361.7463,clCreateBuffer|General,START,,,,,,,,,,,18,
362.18375,clCreateBuffer|General,END,,,,,,,,,,,18,
362.20996,clCreateBuffer|General,START,,,,,,,,,,,19,
363.09707,clCreateBuffer|General,END,,,,,,,,,,,19,
363.12293,clCreateBuffer|General,START,,,,,,,,,,,20,
363.5791,clCreateBuffer|General,END,,,,,,,,,,,20,
363.60596,clCreateBuffer|General,START,,,,,,,,,,,21,
364.16999,clCreateBuffer|General,END,,,,,,,,,,,21,
364.19586,clCreateBuffer|General,START,,,,,,,,,,,22,
364.67418,clCreateBuffer|General,END,,,,,,,,,,,22,
364.70048,clCreateBuffer|General,START,,,,,,,,,,,23,
365.59838,clCreateBuffer|General,END,,,,,,,,,,,23,
365.63218,clEnqueueMapBuffer|187651631006544,START,,,,,,,,,,,24,
366.25749,clEnqueueMapBuffer|187651631006544,END,,,,,,,,,,,24,
366.28911,clEnqueueMapBuffer|187651631006544,START,,,,,,,,,,,25,
366.35483,clEnqueueMapBuffer|187651631006544,END,,,,,,,,,,,25,
366.38274,clEnqueueMapBuffer|187651631006544,START,,,,,,,,,,,26,
366.44088,clEnqueueMapBuffer|187651631006544,END,,,,,,,,,,,26,
