Timeline Trace
Generated on: 2021-04-28 03:41:04
Msec since Epoch: 1619581264660
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
18.73835,clGetPlatformIDs|General,START,,,,,,,,,,,0,
18.85067,clGetPlatformIDs|General,END,,,,,,,,,,,0,
18.89829,clGetPlatformIDs|General,START,,,,,,,,,,,1,
18.9233,clGetPlatformIDs|General,END,,,,,,,,,,,1,
18.95401,clGetPlatformInfo|General,START,,,,,,,,,,,2,
18.98074,clGetPlatformInfo|General,END,,,,,,,,,,,2,
19.00233,clGetPlatformInfo|General,START,,,,,,,,,,,3,
19.02429,clGetPlatformInfo|General,END,,,,,,,,,,,3,
19.12587,clGetDeviceIDs|General,START,,,,,,,,,,,4,
19.15963,clGetDeviceIDs|General,END,,,,,,,,,,,4,
19.18109,clGetDeviceIDs|General,START,,,,,,,,,,,5,
19.20302,clGetDeviceIDs|General,END,,,,,,,,,,,5,
19.22882,clRetainDevice|General,START,,,,,,,,,,,6,
19.25254,clRetainDevice|General,END,,,,,,,,,,,6,
19.27496,clRetainDevice|General,START,,,,,,,,,,,7,
19.29615,clRetainDevice|General,END,,,,,,,,,,,7,
19.32106,clCreateContext|General,START,,,,,,,,,,,8,
31.44048,clCreateContext|General,END,,,,,,,,,,,8,
49.58719,clCreateProgramWithBinary|General,START,,,,,,,,,,,9,
133.92873,clCreateProgramWithBinary|General,END,,,,,,,,,,,9,
134.04156,clCreateCommandQueue|General,START,,,,,,,,,,,10,
134.09441,clCreateCommandQueue|General,END,,,,,,,,,,,10,
134.12137,clCreateKernel|General,START,,,,,,,,,,,11,
137.96371,clCreateKernel|General,END,,,,,,,,,,,11,
138.00297,clCreateBuffer|General,START,,,,,,,,,,,12,
139.24164,clCreateBuffer|General,END,,,,,,,,,,,12,
139.27047,clCreateBuffer|General,START,,,,,,,,,,,13,
139.91034,clCreateBuffer|General,END,,,,,,,,,,,13,
139.9375,clCreateBuffer|General,START,,,,,,,,,,,14,
140.36956,clCreateBuffer|General,END,,,,,,,,,,,14,
140.40612,clCreateBuffer|General,START,,,,,,,,,,,15,
141.33189,clCreateBuffer|General,END,,,,,,,,,,,15,
141.35851,clCreateBuffer|General,START,,,,,,,,,,,16,
141.80926,clCreateBuffer|General,END,,,,,,,,,,,16,
141.83559,clCreateBuffer|General,START,,,,,,,,,,,17,
142.4093,clCreateBuffer|General,END,,,,,,,,,,,17,
142.43538,clCreateBuffer|General,START,,,,,,,,,,,18,
142.88157,clCreateBuffer|General,END,,,,,,,,,,,18,
142.90751,clCreateBuffer|General,START,,,,,,,,,,,19,
143.81703,clCreateBuffer|General,END,,,,,,,,,,,19,
143.84316,clCreateBuffer|General,START,,,,,,,,,,,20,
144.30956,clCreateBuffer|General,END,,,,,,,,,,,20,
144.33611,clCreateBuffer|General,START,,,,,,,,,,,21,
144.89175,clCreateBuffer|General,END,,,,,,,,,,,21,
144.91751,clCreateBuffer|General,START,,,,,,,,,,,22,
145.35672,clCreateBuffer|General,END,,,,,,,,,,,22,
145.38291,clCreateBuffer|General,START,,,,,,,,,,,23,
146.2622,clCreateBuffer|General,END,,,,,,,,,,,23,
146.29756,clEnqueueMapBuffer|187651829645072,START,,,,,,,,,,,24,
146.90284,clEnqueueMapBuffer|187651829645072,END,,,,,,,,,,,24,
146.93376,clEnqueueMapBuffer|187651829645072,START,,,,,,,,,,,25,
147.00505,clEnqueueMapBuffer|187651829645072,END,,,,,,,,,,,25,
147.03257,clEnqueueMapBuffer|187651829645072,START,,,,,,,,,,,26,
147.09978,clEnqueueMapBuffer|187651829645072,END,,,,,,,,,,,26,
147.12698,clEnqueueMapBuffer|187651829645072,START,,,,,,,,,,,27,
147.18404,clEnqueueMapBuffer|187651829645072,END,,,,,,,,,,,27,
147.21044,clEnqueueMapBuffer|187651829645072,START,,,,,,,,,,,28,
147.26385,clEnqueueMapBuffer|187651829645072,END,,,,,,,,,,,28,
147.29082,clEnqueueMapBuffer|187651829645072,START,,,,,,,,,,,29,
