Timeline Trace
Generated on: 2021-04-28 03:52:47
Msec since Epoch: 1619581967767
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
143.02402,clGetPlatformIDs|General,START,,,,,,,,,,,0,
143.15427,clGetPlatformIDs|General,END,,,,,,,,,,,0,
143.20538,clGetPlatformIDs|General,START,,,,,,,,,,,1,
143.23045,clGetPlatformIDs|General,END,,,,,,,,,,,1,
143.26142,clGetPlatformInfo|General,START,,,,,,,,,,,2,
143.28774,clGetPlatformInfo|General,END,,,,,,,,,,,2,
143.30968,clGetPlatformInfo|General,START,,,,,,,,,,,3,
143.33187,clGetPlatformInfo|General,END,,,,,,,,,,,3,
143.4618,clGetDeviceIDs|General,START,,,,,,,,,,,4,
143.49686,clGetDeviceIDs|General,END,,,,,,,,,,,4,
143.51867,clGetDeviceIDs|General,START,,,,,,,,,,,5,
143.54037,clGetDeviceIDs|General,END,,,,,,,,,,,5,
143.56683,clRetainDevice|General,START,,,,,,,,,,,6,
143.59026,clRetainDevice|General,END,,,,,,,,,,,6,
143.61175,clRetainDevice|General,START,,,,,,,,,,,7,
143.63239,clRetainDevice|General,END,,,,,,,,,,,7,
143.65813,clCreateContext|General,START,,,,,,,,,,,8,
155.74745,clCreateContext|General,END,,,,,,,,,,,8,
438.24389,clCreateProgramWithBinary|General,START,,,,,,,,,,,9,
553.30009,clCreateProgramWithBinary|General,END,,,,,,,,,,,9,
553.41591,clCreateCommandQueue|General,START,,,,,,,,,,,10,
553.46887,clCreateCommandQueue|General,END,,,,,,,,,,,10,
553.49725,clCreateKernel|General,START,,,,,,,,,,,11,
557.39399,clCreateKernel|General,END,,,,,,,,,,,11,
557.43354,clCreateBuffer|General,START,,,,,,,,,,,12,
568.77756,clCreateBuffer|General,END,,,,,,,,,,,12,
568.811,clCreateBuffer|General,START,,,,,,,,,,,13,
569.39249,clCreateBuffer|General,END,,,,,,,,,,,13,
569.4191,clCreateBuffer|General,START,,,,,,,,,,,14,
569.86277,clCreateBuffer|General,END,,,,,,,,,,,14,
569.9015,clCreateBuffer|General,START,,,,,,,,,,,15,
570.82588,clCreateBuffer|General,END,,,,,,,,,,,15,
570.8523,clCreateBuffer|General,START,,,,,,,,,,,16,
571.32336,clCreateBuffer|General,END,,,,,,,,,,,16,
571.35015,clCreateBuffer|General,START,,,,,,,,,,,17,
572.12629,clCreateBuffer|General,END,,,,,,,,,,,17,
572.15277,clCreateBuffer|General,START,,,,,,,,,,,18,
572.60556,clCreateBuffer|General,END,,,,,,,,,,,18,
572.63202,clCreateBuffer|General,START,,,,,,,,,,,19,
573.50321,clCreateBuffer|General,END,,,,,,,,,,,19,
573.52891,clCreateBuffer|General,START,,,,,,,,,,,20,
573.98326,clCreateBuffer|General,END,,,,,,,,,,,20,
574.00976,clCreateBuffer|General,START,,,,,,,,,,,21,
574.56792,clCreateBuffer|General,END,,,,,,,,,,,21,
574.59374,clCreateBuffer|General,START,,,,,,,,,,,22,
575.03741,clCreateBuffer|General,END,,,,,,,,,,,22,
575.06347,clCreateBuffer|General,START,,,,,,,,,,,23,
575.94289,clCreateBuffer|General,END,,,,,,,,,,,23,
575.97816,clEnqueueMapBuffer|187650135846672,START,,,,,,,,,,,24,
576.71876,clEnqueueMapBuffer|187650135846672,END,,,,,,,,,,,24,
576.75203,clEnqueueMapBuffer|187650135846672,START,,,,,,,,,,,25,
576.82278,clEnqueueMapBuffer|187650135846672,END,,,,,,,,,,,25,
576.85025,clEnqueueMapBuffer|187650135846672,START,,,,,,,,,,,26,
576.91073,clEnqueueMapBuffer|187650135846672,END,,,,,,,,,,,26,
576.93818,clEnqueueMapBuffer|187650135846672,START,,,,,,,,,,,27,
577.00485,clEnqueueMapBuffer|187650135846672,END,,,,,,,,,,,27,
577.03233,clEnqueueMapBuffer|187650135846672,START,,,,,,,,,,,28,
577.09183,clEnqueueMapBuffer|187650135846672,END,,,,,,,,,,,28,
577.11893,clEnqueueMapBuffer|187650135846672,START,,,,,,,,,,,29,
577.17592,clEnqueueMapBuffer|187650135846672,END,,,,,,,,,,,29,
577.20232,clEnqueueMapBuffer|187650135846672,START,,,,,,,,,,,30,
577.25864,clEnqueueMapBuffer|187650135846672,END,,,,,,,,,,,30,
577.28469,clEnqueueMapBuffer|187650135846672,START,,,,,,,,,,,31,
577.34068,clEnqueueMapBuffer|187650135846672,END,,,,,,,,,,,31,
577.36701,clEnqueueMapBuffer|187650135846672,START,,,,,,,,,,,32,
577.42372,clEnqueueMapBuffer|187650135846672,END,,,,,,,,,,,32,
577.45003,clEnqueueMapBuffer|187650135846672,START,,,,,,,,,,,33,
577.5051,clEnqueueMapBuffer|187650135846672,END,,,,,,,,,,,33,
577.53161,clEnqueueMapBuffer|187650135846672,START,,,,,,,,,,,34,
577.58764,clEnqueueMapBuffer|187650135846672,END,,,,,,,,,,,34,
577.61384,clEnqueueMapBuffer|187650135846672,START,,,,,,,,,,,35,
577.66813,clEnqueueMapBuffer|187650135846672,END,,,,,,,,,,,35,
618.50453,clSetKernelArg|General,START,,,,,,,,,,,36,
618.7348,clSetKernelArg|General,END,,,,,,,,,,,36,
618.76429,clSetKernelArg|General,START,,,,,,,,,,,37,
618.7925,clSetKernelArg|General,END,,,,,,,,,,,37,
618.81335,clSetKernelArg|General,START,,,,,,,,,,,38,
618.83817,clSetKernelArg|General,END,,,,,,,,,,,38,
618.86553,clRetainMemObject|General,START,,,,,,,,,,,39,
618.89731,clRetainMemObject|General,END,,,,,,,,,,,39,
618.91888,clRetainMemObject|General,START,,,,,,,,,,,40,
618.9418,clRetainMemObject|General,END,,,,,,,,,,,40,
618.9631,clRetainMemObject|General,START,,,,,,,,,,,41,
618.98496,clRetainMemObject|General,END,,,,,,,,,,,41,
619.0056,clRetainMemObject|General,START,,,,,,,,,,,42,
619.02718,clRetainMemObject|General,END,,,,,,,,,,,42,
619.05499,clEnqueueMigrateMemObjects|187650135846672,START,,,,,,,,,,,43,
619.17425,WRITE_BUFFER,QUEUE,0X60100000|HP0,1064960,,,,,,,,,
619.23646,WRITE_BUFFER,SUBMIT,0X60100000|HP0,1064960,,,,,,,,,
619.31216,clEnqueueMigrateMemObjects|187650135846672,END,,,,,,,,,,,43,
619.35098,clReleaseMemObject|General,START,,,,,,,,,,,44,
619.42157,WRITE_BUFFER,START,0X60100000|HP0|0Xffff7b1e6170,1064960,,,,,,,12,None,
619.42194,clReleaseMemObject|General,END,,,,,,,,,,,44,
619.62832,clReleaseMemObject|General,START,,,,,,,,,,,45,
619.65229,clReleaseMemObject|General,END,,,,,,,,,,,45,
619.65333,WRITE_BUFFER,END,0X60100000|HP0|0Xffff7b1e6170,1064960,,,,,,,12,None,
619.67701,clReleaseMemObject|General,START,,,,,,,,,,,46,
619.76559,clReleaseMemObject|General,END,,,,,,,,,,,46,
619.78762,clReleaseMemObject|General,START,,,,,,,,,,,47,
619.80954,clReleaseMemObject|General,END,,,,,,,,,,,47,
619.8371,clRetainEvent|General,START,,,,,,,,,,,48,
619.86247,clRetainEvent|General,END,,,,,,,,,,,48,
619.95063,clEnqueueTask|187650135846672,START,,,,,,,,,,,49,
620.00967,DEPENDENCY_EVENT,,12,13,
620.06693,DEPENDENCY_EVENT,,13,14,
620.3113,KERNEL|edge-0|kernel|mmult_fpga|1:1:1|all,QUEUE,0XAAAAB3AE9940,1,,,,,,,,,
620.39238,KERNEL|edge-0|kernel|mmult_fpga|1:1:1|all,SUBMIT,0XAAAAB3AE9940,1,,,,,,,,,
620.42671,KERNEL|edge-0|kernel|mmult_fpga|1:1:1|all,START,0XAAAAB3AE9940,1,,,,,,,14,None,
620.71993,clEnqueueTask|187650135846672,END,,,,,,,,,,,49,
620.75063,clRetainEvent|General,START,,,,,,,,,,,50,
620.77449,clRetainEvent|General,END,,,,,,,,,,,50,
620.79565,clRetainMemObject|General,START,,,,,,,,,,,51,
620.82087,clRetainMemObject|General,END,,,,,,,,,,,51,
620.84243,clRetainMemObject|General,START,,,,,,,,,,,52,
620.86389,clRetainMemObject|General,END,,,,,,,,,,,52,
620.88634,clEnqueueMigrateMemObjects|187650135846672,START,,,,,,,,,,,53,
620.91701,DEPENDENCY_EVENT,,14,15,
620.93796,READ_BUFFER,QUEUE,0X60300000|HP0,532480,,,,,,,,,
620.96594,clEnqueueMigrateMemObjects|187650135846672,END,,,,,,,,,,,53,
620.99068,clReleaseMemObject|General,START,,,,,,,,,,,54,
621.01439,clReleaseMemObject|General,END,,,,,,,,,,,54,
621.03535,clReleaseMemObject|General,START,,,,,,,,,,,55,
621.05672,clReleaseMemObject|General,END,,,,,,,,,,,55,
621.07769,clRetainEvent|General,START,,,,,,,,,,,56,
621.09926,clRetainEvent|General,END,,,,,,,,,,,56,
621.12575,clReleaseEvent|General,START,,,,,,,,,,,57,
621.438,clReleaseEvent|General,END,,,,,,,,,,,57,
621.46064,clReleaseEvent|General,START,,,,,,,,,,,58,
621.48261,clReleaseEvent|General,END,,,,,,,,,,,58,
621.50299,clReleaseEvent|General,START,,,,,,,,,,,59,
621.52405,clReleaseEvent|General,END,,,,,,,,,,,59,
621.54413,clReleaseEvent|General,START,,,,,,,,,,,60,
621.56472,clReleaseEvent|General,END,,,,,,,,,,,60,
