Timeline Trace
Generated on: 2021-04-28 05:48:10
Msec since Epoch: 1619588890487
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
19.16212,clGetPlatformIDs|General,START,,,,,,,,,,,0,
19.2827,clGetPlatformIDs|General,END,,,,,,,,,,,0,
19.33179,clGetPlatformIDs|General,START,,,,,,,,,,,1,
19.35772,clGetPlatformIDs|General,END,,,,,,,,,,,1,
19.38952,clGetPlatformInfo|General,START,,,,,,,,,,,2,
19.41651,clGetPlatformInfo|General,END,,,,,,,,,,,2,
19.43814,clGetPlatformInfo|General,START,,,,,,,,,,,3,
19.46047,clGetPlatformInfo|General,END,,,,,,,,,,,3,
19.56292,clGetDeviceIDs|General,START,,,,,,,,,,,4,
19.59643,clGetDeviceIDs|General,END,,,,,,,,,,,4,
19.6188,clGetDeviceIDs|General,START,,,,,,,,,,,5,
19.64004,clGetDeviceIDs|General,END,,,,,,,,,,,5,
19.66641,clRetainDevice|General,START,,,,,,,,,,,6,
19.69077,clRetainDevice|General,END,,,,,,,,,,,6,
19.71199,clRetainDevice|General,START,,,,,,,,,,,7,
19.7328,clRetainDevice|General,END,,,,,,,,,,,7,
19.75871,clCreateContext|General,START,,,,,,,,,,,8,
31.81321,clCreateContext|General,END,,,,,,,,,,,8,
48.94536,clCreateProgramWithBinary|General,START,,,,,,,,,,,9,
134.14317,clCreateProgramWithBinary|General,END,,,,,,,,,,,9,
134.25361,clCreateCommandQueue|General,START,,,,,,,,,,,10,
134.30931,clCreateCommandQueue|General,END,,,,,,,,,,,10,
134.33794,clCreateKernel|General,START,,,,,,,,,,,11,
138.17994,clCreateKernel|General,END,,,,,,,,,,,11,
138.20578,clCreateKernel|General,START,,,,,,,,,,,12,
141.96351,clCreateKernel|General,END,,,,,,,,,,,12,
142.00242,clCreateBuffer|General,START,,,,,,,,,,,13,
143.34179,clCreateBuffer|General,END,,,,,,,,,,,13,
143.37047,clCreateBuffer|General,START,,,,,,,,,,,14,
144.08877,clCreateBuffer|General,END,,,,,,,,,,,14,
144.12413,clCreateBuffer|General,START,,,,,,,,,,,15,
144.60458,clCreateBuffer|General,END,,,,,,,,,,,15,
144.63118,clCreateBuffer|General,START,,,,,,,,,,,16,
145.52694,clCreateBuffer|General,END,,,,,,,,,,,16,
145.5532,clCreateBuffer|General,START,,,,,,,,,,,17,
146.0123,clCreateBuffer|General,END,,,,,,,,,,,17,
146.03875,clCreateBuffer|General,START,,,,,,,,,,,18,
146.63011,clCreateBuffer|General,END,,,,,,,,,,,18,
146.65658,clCreateBuffer|General,START,,,,,,,,,,,19,
147.09808,clCreateBuffer|General,END,,,,,,,,,,,19,
147.12431,clCreateBuffer|General,START,,,,,,,,,,,20,
148.00083,clCreateBuffer|General,END,,,,,,,,,,,20,
148.02704,clCreateBuffer|General,START,,,,,,,,,,,21,
148.48667,clCreateBuffer|General,END,,,,,,,,,,,21,
148.51323,clCreateBuffer|General,START,,,,,,,,,,,22,
149.16636,clCreateBuffer|General,END,,,,,,,,,,,22,
149.19405,clCreateBuffer|General,START,,,,,,,,,,,23,
149.65184,clCreateBuffer|General,END,,,,,,,,,,,23,
149.67835,clCreateBuffer|General,START,,,,,,,,,,,24,
